epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,46.8376,0.84098,0.97662,1.32457,0.73297,0.4,0.48383,0.34655,1.74962,2.35862,1.51186,2.64447e-05,2.64447e-05,2.64447e-05
70,47.422,0.67361,0.76126,1.13198,0.73297,0.4,0.48383,0.34655,1.74962,2.35862,1.51186,2.60207e-05,2.60207e-05,2.60207e-05
71,48.1151,0.7227,1.20088,1.30661,0.73297,0.4,0.48383,0.34655,1.74962,2.35862,1.51186,2.55731e-05,2.55731e-05,2.55731e-05
72,48.7593,1.0173,1.2233,1.37518,0.89386,0.4,0.48431,0.34948,1.73592,2.38677,1.49625,2.5102e-05,2.5102e-05,2.5102e-05
73,49.3607,0.6225,0.569,1.04732,0.89386,0.4,0.48431,0.34948,1.73592,2.38677,1.49625,2.46073e-05,2.46073e-05,2.46073e-05
74,49.9894,0.64844,0.668,1.09001,0.89386,0.4,0.48431,0.34948,1.73592,2.38677,1.49625,2.40891e-05,2.40891e-05,2.40891e-05
75,50.6786,0.7664,1.05817,1.25516,0.8943,0.4,0.48446,0.34956,1.73331,2.36966,1.47702,2.35472e-05,2.35472e-05,2.35472e-05
76,51.3192,0.63816,0.77726,1.00783,0.8943,0.4,0.48446,0.34956,1.73331,2.36966,1.47702,2.29819e-05,2.29819e-05,2.29819e-05
77,51.9553,1.42608,1.32958,1.69132,0.8943,0.4,0.48446,0.34956,1.73331,2.36966,1.47702,2.23929e-05,2.23929e-05,2.23929e-05
78,52.6445,0.61618,0.84192,1.03757,0.71026,0.4,0.47116,0.31944,1.75392,2.39061,1.48859,2.17805e-05,2.17805e-05,2.17805e-05
79,53.3605,0.59523,0.91675,1.1717,0.71026,0.4,0.47116,0.31944,1.75392,2.39061,1.48859,2.11444e-05,2.11444e-05,2.11444e-05
80,53.956,0.62482,0.83022,1.07005,0.71026,0.4,0.47116,0.31944,1.75392,2.39061,1.48859,2.04848e-05,2.04848e-05,2.04848e-05
81,54.6468,0.82562,1.01324,1.26447,0.88292,0.4,0.47045,0.30816,1.75453,2.42087,1.50395,1.98016e-05,1.98016e-05,1.98016e-05
82,55.2807,0.62366,0.91477,1.05872,0.88292,0.4,0.47045,0.30816,1.75453,2.42087,1.50395,1.90949e-05,1.90949e-05,1.90949e-05
83,55.8998,0.91283,1.70467,1.3211,0.88292,0.4,0.47045,0.30816,1.75453,2.42087,1.50395,1.83646e-05,1.83646e-05,1.83646e-05
84,56.5304,0.67625,0.98087,1.1416,0.89769,0.4,0.46984,0.31862,1.75891,2.39483,1.49634,1.76107e-05,1.76107e-05,1.76107e-05
85,57.1471,0.69086,1.02803,1.20272,0.89769,0.4,0.46984,0.31862,1.75891,2.39483,1.49634,1.68333e-05,1.68333e-05,1.68333e-05
86,57.8038,0.80277,1.45035,1.18551,0.89769,0.4,0.46984,0.31862,1.75891,2.39483,1.49634,1.60323e-05,1.60323e-05,1.60323e-05
87,58.4014,1.04361,0.94776,1.42152,0.89769,0.4,0.46984,0.31862,1.75891,2.39483,1.49634,1.52077e-05,1.52077e-05,1.52077e-05
88,59.0616,0.85563,1.1863,1.29455,0.76132,0.38885,0.59522,0.3409,1.75989,2.37138,1.48414,1.43596e-05,1.43596e-05,1.43596e-05
89,59.6593,0.64121,0.68235,1.10603,0.76132,0.38885,0.59522,0.3409,1.75989,2.37138,1.48414,1.34879e-05,1.34879e-05,1.34879e-05
90,60.2755,0.75043,0.92533,1.30208,0.76132,0.38885,0.59522,0.3409,1.75989,2.37138,1.48414,1.25927e-05,1.25927e-05,1.25927e-05
