epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1381.37,1.41078,0.56677,0.99675,0.99785,0.97919,0.99264,0.64395,1.45167,0.52345,1.01213,0.000421792,0.000421792,0.000421792
69,1401.95,1.4059,0.57098,0.9885,0.99781,0.97919,0.9927,0.64216,1.44317,0.52492,1.01217,0.000399689,0.000399689,0.000399689
70,1422.25,1.42038,0.56421,0.98766,0.99777,0.97919,0.99236,0.6425,1.44343,0.53088,1.01299,0.000378023,0.000378023,0.000378023
71,1442.8,1.39855,0.56421,0.9974,0.99797,0.97919,0.99244,0.63847,1.43822,0.5236,1.01261,0.000356815,0.000356815,0.000356815
72,1463.1,1.40603,0.54591,0.98943,0.99789,0.97919,0.99272,0.64669,1.42396,0.52152,1.0081,0.000336086,0.000336086,0.000336086
73,1483.85,1.40701,0.5506,0.98978,0.99674,0.97816,0.99163,0.64201,1.43741,0.52116,1.0118,0.000315855,0.000315855,0.000315855
74,1504.2,1.39189,0.54217,0.98648,0.99888,0.98022,0.99222,0.65,1.42636,0.51558,1.00771,0.000296144,0.000296144,0.000296144
75,1525.05,1.41544,0.55532,0.9947,0.99779,0.97919,0.99233,0.651,1.41707,0.52512,1.00624,0.000276971,0.000276971,0.000276971
76,1545.27,1.41256,0.54884,0.99122,0.99804,0.97919,0.99236,0.64619,1.42958,0.52065,1.00943,0.000258355,0.000258355,0.000258355
77,1565.42,1.38876,0.53842,0.9951,0.9988,0.98022,0.99257,0.64293,1.4402,0.51781,1.00868,0.000240316,0.000240316,0.000240316
78,1585.46,1.40582,0.54213,0.99463,0.99879,0.98022,0.99262,0.64742,1.43803,0.51459,1.00992,0.00022287,0.00022287,0.00022287
79,1605.34,1.39827,0.54869,0.98543,0.99786,0.97919,0.99257,0.64655,1.43207,0.51027,1.00769,0.000206034,0.000206034,0.000206034
80,1625.25,1.39995,0.55345,0.98677,0.99747,0.97919,0.99296,0.64771,1.42956,0.51492,1.00703,0.000189827,0.000189827,0.000189827
81,1645.17,1.37479,0.55048,0.98564,0.99769,0.97919,0.99296,0.64567,1.43186,0.5177,1.00751,0.000174262,0.000174262,0.000174262
82,1665.74,1.40024,0.55231,0.98509,0.9978,0.97919,0.99276,0.64624,1.42478,0.51304,1.00591,0.000159357,0.000159357,0.000159357
