epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,18922.6,0.85333,3.6893,0.2533,0.55141,1.13637,0.97162,0.97208,0.98931,0.79558,0.86399,0.8093,0.82756,0.60525,0.89232,2.37461,0.05151,0.39485,1.07748,0.00366899,0.00366899,0.00366899
61,19220.5,0.8392,3.63275,0.25131,0.54067,1.127,0.97164,0.97259,0.98933,0.79591,0.86441,0.8108,0.82821,0.60652,0.89151,2.36402,0.05133,0.39462,1.07699,0.00352037,0.00352037,0.00352037
62,19528.6,0.845,3.65768,0.25263,0.54378,1.1292,0.97179,0.97298,0.9894,0.79607,0.86427,0.81065,0.82816,0.60695,0.89109,2.35287,0.05117,0.39431,1.07676,0.00337325,0.00337325,0.00337325
63,19820.7,0.84199,3.62615,0.25241,0.5453,1.1308,0.97143,0.97323,0.9894,0.79626,0.86542,0.81007,0.82838,0.60746,0.89051,2.34167,0.05103,0.39413,1.07642,0.00322778,0.00322778,0.00322778
64,20110.8,0.84287,3.61492,0.25251,0.54424,1.13244,0.97149,0.97322,0.9894,0.79648,0.8652,0.81084,0.82852,0.60893,0.88988,2.33032,0.05091,0.39396,1.07609,0.00308412,0.00308412,0.00308412
65,20603.8,0.83908,3.61031,0.25054,0.53978,1.12832,0.97136,0.97307,0.98938,0.79638,0.86509,0.81109,0.82865,0.60961,0.88963,2.31918,0.05076,0.39397,1.07588,0.00294239,0.00294239,0.00294239
66,20901.7,0.83852,3.57764,0.25005,0.53815,1.12872,0.97123,0.97283,0.98937,0.79651,0.86544,0.81054,0.82865,0.61013,0.88963,2.30833,0.05064,0.39403,1.07578,0.00280275,0.00280275,0.00280275
67,21190.3,0.8424,3.60017,0.25057,0.54276,1.12944,0.97124,0.97305,0.98941,0.79673,0.86548,0.81071,0.82866,0.61136,0.88969,2.2978,0.0505,0.39403,1.07573,0.00266532,0.00266532,0.00266532
68,21482.5,0.83956,3.57443,0.24856,0.54186,1.12906,0.971,0.97323,0.98941,0.79656,0.86384,0.81171,0.82867,0.61225,0.88964,2.2874,0.05036,0.39409,1.07567,0.00253024,0.00253024,0.00253024
69,21770.7,0.83549,3.56683,0.24793,0.53681,1.12479,0.97083,0.97336,0.98943,0.79683,0.86473,0.8116,0.82892,0.61335,0.88967,2.27764,0.05025,0.39408,1.0756,0.00239766,0.00239766,0.00239766
70,22066.2,0.83272,3.55045,0.24716,0.54019,1.12645,0.97137,0.97345,0.98945,0.79698,0.86537,0.81173,0.82921,0.61415,0.88926,2.26751,0.05015,0.39403,1.0753,0.00226769,0.00226769,0.00226769
71,22365.1,0.83416,3.51884,0.24711,0.53335,1.12539,0.97137,0.97333,0.98945,0.79733,0.86401,0.81288,0.82967,0.61589,0.88936,2.25823,0.05005,0.39393,1.07526,0.00214046,0.00214046,0.00214046
72,22669.2,0.8285,3.49587,0.24566,0.53413,1.12176,0.97141,0.97349,0.98946,0.79744,0.86354,0.81301,0.82978,0.61672,0.88947,2.24898,0.04995,0.39396,1.07532,0.00201611,0.00201611,0.00201611
73,22972.7,0.83173,3.54375,0.24657,0.53501,1.12355,0.97164,0.97349,0.98947,0.79755,0.86344,0.813,0.82987,0.61767,0.88946,2.24001,0.04986,0.39387,1.07532,0.00189475,0.00189475,0.00189475
74,23267.5,0.83421,3.50115,0.24575,0.53467,1.12606,0.97168,0.97349,0.98948,0.79769,0.86368,0.81305,0.83009,0.61918,0.88934,2.23126,0.04976,0.39381,1.07512,0.00177651,0.00177651,0.00177651
75,23577,0.82862,3.50861,0.24534,0.53463,1.1258,0.97198,0.97313,0.98948,0.79782,0.86472,0.81291,0.83034,0.62057,0.88905,2.22289,0.04964,0.39376,1.07486,0.00166149,0.00166149,0.00166149
76,23881.8,0.8287,3.50886,0.24381,0.53309,1.12072,0.97197,0.97323,0.9895,0.79785,0.86565,0.81276,0.83048,0.62151,0.88899,2.21476,0.0495,0.39372,1.07475,0.00154982,0.00154982,0.00154982
77,24182.8,0.83437,3.5054,0.2456,0.53219,1.1274,0.97218,0.9731,0.98952,0.79778,0.8662,0.81314,0.83076,0.6228,0.88892,2.20693,0.04938,0.39375,1.07459,0.00144161,0.00144161,0.00144161
78,24502.3,0.82821,3.4615,0.24527,0.53307,1.12457,0.97233,0.9731,0.98954,0.79764,0.86593,0.81327,0.83078,0.62362,0.88873,2.19924,0.04924,0.39372,1.07447,0.00133695,0.00133695,0.00133695
79,24810,0.82409,3.46201,0.24339,0.52843,1.12149,0.97234,0.9731,0.98954,0.79764,0.86528,0.81354,0.83078,0.62441,0.88863,2.19165,0.04913,0.39366,1.07437,0.00123596,0.00123596,0.00123596
80,25116.4,0.82537,3.47388,0.2428,0.53033,1.12325,0.97272,0.97279,0.98954,0.79759,0.86531,0.81391,0.83084,0.62521,0.88898,2.18472,0.04903,0.39378,1.0745,0.00113873,0.00113873,0.00113873
81,25407.7,0.82085,3.44923,0.24285,0.52921,1.12263,0.97272,0.97261,0.98955,0.79755,0.8652,0.81378,0.83079,0.62692,0.88904,2.17823,0.04889,0.39381,1.07448,0.00104537,0.00104537,0.00104537
82,25697.5,0.81882,3.40922,0.24101,0.52725,1.11986,0.97284,0.9727,0.98955,0.79741,0.8659,0.81429,0.83107,0.62734,0.88915,2.17149,0.04874,0.39377,1.07443,0.000955951,0.000955951,0.000955951
83,25985.9,0.8201,3.41386,0.24225,0.52463,1.11947,0.97286,0.97259,0.98957,0.79751,0.86651,0.81481,0.83124,0.62918,0.88947,2.16505,0.04858,0.39384,1.07457,0.000870577,0.000870577,0.000870577
